#Name,a,year
" 15760 (1992 QB1)",43.89799615603241	,1992 
" 15788 (1993 SB)",39.44504130270598	,1993 
" 15789 (1993 SC)",39.49656382142236	,1993 
" 15807 (1994 GV9)",43.92595285884958	,1994 
" 15809 (1994 JS)",42.08916323673944	,1994 
" 15810 (1994 JR1)",39.26473840008283	,1994 
" 15820 (1994 TB)",39.53329604554448	,1994 
" 15836 (1995 DA2)",36.61645842668343	,1995 
" 15874 (1996 TL66)",84.00149731646107	,1996 
" 15875 (1996 TP66)",39.54316366325752	,1996 
" 15883 (1997 CR29)",47.35443248895153	,1997 
" 16684 (1994 JQ1)",44.11085672199867	,1994 
" 19255 (1994 VK8)",43.00355044504641	,1994 
" 19299 (1996 SZ4)",39.66989016934387	,1996 
" 19308 (1996 TO66)",43.23282485522726	,1996 
" 19521 Chaos (1998 WH24)",45.93728424834111	,1998 
" 20000 Varuna (2000 WR106)",43.19387441553436	,2000 
" 20108 (1995 QZ9)",39.45691993768359	,1995 
" 20161 (1996 TR66)",47.71470906669207	,1996 
" 24835 (1995 SM55)",41.88492866843608	,1995 
" 24952 (1997 QJ4)",39.37529357718563	,1997 
" 24978 (1998 HJ151)",43.30784541083806	,1998 
" 26181 (1996 GQ21)",93.87346660827265	,1996 
" 26308 (1998 SM165)",47.59830259144721	,1998 
" 26375 (1999 DE9)",55.93612802373172	,1999 
" 28978 Ixion (2001 KX76)",39.41999361876776	,2001 
" 29981 (1999 TD10)",97.23298001707646	,1999 
" 32929 (1995 QY9)",39.63040500521749	,1995 
" 33001 (1997 CU29)",43.71413077799322	,1997 
" 33128 (1998 BU48)",33.44726709831627	,1998 
" 33340 (1998 VG44)",39.50050842641036	,1998 
" 35671 (1998 SN165)",37.8486894550172	,1998 
" 38083 Rhadamanthus (1999 HX11)",39.12139298674491	,1999 
" 38084 (1999 HB12)",55.82541541522104	,1999 
" 38628 Huya (2000 EB173)",39.48221054746175	,2000 
" 40314 (1999 KR16)",48.81476644870868	,1999 
" 42301 (2001 UR163)",51.46826059202579	,2001 
" 42355 Typhon (2002 CR46)",38.17613573402244	,2002 
" 44594 (1999 OX3)",32.15737893714132	,1999 
" 45802 (2000 PV29)",43.2692363114358	,2000 
" 47171 (1999 TC36)",39.40351917975376	,1999 
" 47932 (2000 GN171)",39.44061691825328	,2000 
" 48639 (1995 TL8)",52.53899374494244	,1995 
" 49673 (1999 RA215)",42.99635378881863	,1999 
